snapshot_date,isbn13,store_id,predicted_demand,confidence_low,confidence_high,model_version,synced_at
2026-05-12,9788925588735,1,56.44,40.0,100.0,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9788925588735,2,79.79,40.0,100.0,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9791141602376,2,63.49,40.0,100.0,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9791141602376,3,57.75,40.0,100.0,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9791194530701,3,68.82,40.0,100.0,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9791194530701,4,68.4,40.0,100.0,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9788998441012,7,79.09,40.0,100.0,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9788960909878,9,63.49,40.0,100.0,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9791141603250,1,68.13,40.0,100.0,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9791141616144,7,56.89,40.0,100.0,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9791175772939,2,68.25,40.0,100.0,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9788925588735,3,20.5,16.1,29.9,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9788925588735,4,28.51,16.8,31.2,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9788925588735,5,18.31,14.0,26.0,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9788925588735,6,6.76,4.2,7.8,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9788925588735,7,15.41,9.1,16.9,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9788925588735,8,2.41,2.1,3.9,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9788925588735,9,10.49,9.1,16.9,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9788925588735,10,5.82,4.2,7.8,automl-v1.0.0,2026-05-12T18:00:00+09:00
2026-05-12,9788925588735,11,25.49,18.2,33.8,automl-v1.0.0,2026-05-12T18:00:00+09:00
